feature,mean_abs_shap,mean_shap,std_shap
worst area,3.399961041641808,-0.4541313953862046,3.9331024248000817
worst concave points,1.984405076574217,-0.044428372923037675,2.2469275422015804
worst concavity,1.4197559997910678,0.19480142816682922,1.5393883687111818
worst perimeter,1.3194838712980244,-0.07653048400044954,1.4639792343570617
worst radius,1.2967237528808295,0.006697225222237162,1.4258837443887993
worst texture,1.2559917305174229,-0.096638089595979,1.4403812528242628
mean concave points,1.2218590968574856,-0.19270314002263925,1.3703963326239397
radius error,1.2069782156480198,-0.1713874433536228,1.5264674724841223
mean radius,1.1609025860253621,0.02242566197121399,1.3082761266335345
symmetry error,1.012538534433613,0.05543781624129471,1.148517714619826
mean texture,0.9482566466944452,-0.19840712546133563,1.0716922218289326
worst smoothness,0.8535799666939046,-0.14817803638802235,1.0479098779926475
concave points error,0.6357048646200095,-0.06134426048165113,0.809716944001472
mean area,0.5668486050297541,-0.019633992089525938,0.6437083152391277
mean concavity,0.5442254913714876,0.0008671629870064746,0.5809143511748895
perimeter error,0.49618390472021384,-0.035113034213391445,0.6262598088164868
mean perimeter,0.447656671357736,0.17263199357852563,0.4854038408648106
mean compactness,0.3524067210024186,0.06937361427575425,0.46600436764535386
mean smoothness,0.2975279140843282,-0.11103440103182877,0.3564348097788673
worst symmetry,0.29318783414200456,0.04468646839287314,0.403571001478024
texture error,0.2894419368315433,-0.08184102574147313,0.3635398283394235
mean symmetry,0.27487820833641924,-0.015664668367604263,0.3499514997990256
worst compactness,0.25361527685990004,-0.017627513787053836,0.3093894714380369
smoothness error,0.23793727125088593,-0.05845373062129027,0.3064531822513088
worst fractal dimension,0.21610563505490948,-0.013153084733924085,0.2654261707926236
concavity error,0.20317840668368306,-0.03351723251174441,0.2681533721745921
area error,0.19311178758742287,0.03045053185028229,0.2562891100151174
compactness error,0.14572411815765857,0.04044574075924757,0.1756154764975786
fractal dimension error,0.08992423723450024,-0.03003529781868626,0.11905724044082114
mean fractal dimension,0.08324381750012375,-0.019305339398194375,0.09731358521876186
