feature,mean_abs_shap,mean_shap,std_shap
worst concave points,0.8167929880734502,0.04437387381778182,0.8834041858443958
worst area,0.7564882540099334,0.01161828023398162,0.8190136291326517
mean concave points,0.6800632064813785,-0.024989544055029535,0.7068582499520134
worst concavity,0.3999890026870521,0.00747997054870139,0.4092247515620332
worst texture,0.3692619169524381,0.023154367649295807,0.444919714245632
mean texture,0.3494969886067014,-0.07865356261587444,0.4063121270201903
worst perimeter,0.32111443543997703,0.04259319896751377,0.33359797093676374
area error,0.3056094260280626,-0.09632365576580919,0.346207569942354
worst radius,0.24767317457942492,-0.03912795134067052,0.28292238728602837
mean area,0.13734401090069803,-0.004299367836950278,0.15261101791043327
worst smoothness,0.12527828186375145,-0.036482777283371765,0.13604972118370584
mean concavity,0.062063168189140934,0.022806437933706347,0.06734350671344703
worst symmetry,0.05204531257739365,0.00644584613591127,0.06907161732957505
radius error,0.03837218544106891,-0.02427241159840527,0.061950580076973925
mean smoothness,0.037233717597024485,-0.005716163429136831,0.04234971696007567
perimeter error,0.024057839931324557,-0.010914060648657582,0.0359446698833984
mean fractal dimension,0.013875379425031842,-0.0022410205557144834,0.024910388483113423
mean symmetry,0.010925614871761078,0.002270729007020155,0.02055022518140555
concavity error,0.006567726610041147,-0.0019998835277294093,0.010960810567943482
worst compactness,0.002993146132312326,0.0015449513313239285,0.004451709390202633
concave points error,0.0020560217073846325,-0.0007716215141089519,0.003939388439100409
smoothness error,0.00171785570375888,0.0010301930708040115,0.0038723223193982124
fractal dimension error,0.00028744462988266516,2.947992559899729e-05,0.0004224882801646385
mean radius,0.0,0.0,0.0
mean perimeter,0.0,0.0,0.0
mean compactness,0.0,0.0,0.0
texture error,0.0,0.0,0.0
compactness error,0.0,0.0,0.0
symmetry error,0.0,0.0,0.0
worst fractal dimension,0.0,0.0,0.0
