feature,mean_abs_shap,mean_shap,std_shap
mean concave points,0.92545027,0.06630348,0.94066
worst concave points,0.7278164,0.19303294,0.7294885
worst perimeter,0.38029245,0.1461971,0.38766056
worst radius,0.37465256,0.009687396,0.4308686
worst texture,0.24962199,0.03177412,0.31191123
worst concavity,0.14493304,0.047191657,0.15273972
mean texture,0.13922675,-0.021877877,0.16203216
area error,0.12542516,-0.05049986,0.16180888
worst area,0.11438035,-0.0001745373,0.12935103
mean area,0.058388416,-0.001613052,0.06800689
mean radius,0.04561871,0.001696299,0.054903034
perimeter error,0.034292635,-0.017237708,0.0661773
mean smoothness,0.020923149,0.008961332,0.024862485
worst symmetry,0.020198798,0.012794435,0.025532303
texture error,0.02017662,0.0044154897,0.032131366
worst smoothness,0.011619439,-0.0032227302,0.02598845
symmetry error,0.0106437495,0.003515386,0.0150765795
mean compactness,0.010174351,-0.0011911314,0.013900798
fractal dimension error,0.009458084,0.0016653453,0.033112578
concave points error,0.008572606,0.003058007,0.01196221
concavity error,0.0075261556,-0.0030289162,0.024813524
radius error,0.00742197,-0.0035378782,0.012767231
compactness error,0.0067081195,0.003012868,0.009170096
smoothness error,0.0057674404,0.0027040911,0.01694331
worst fractal dimension,0.0055650272,0.0019041417,0.0086619705
worst compactness,0.0053571584,-0.00045641052,0.0062621483
mean fractal dimension,0.004087092,-0.0020809125,0.010153201
mean concavity,0.001079868,-0.00038927933,0.0015956484
mean symmetry,0.0,0.0,0.0
mean perimeter,0.0,0.0,0.0
